text
"b""#Alabama lawmakers have passed the nation's most restrictive ban on #abortion, with no exception for rape or incest\xe2\x80\xa6 https://t.co/KdJBgbuAVH"""
"b'""#Alabama Lawmakers Vote to Effectively Ban Abortion in the State"" https://t.co/gNCUWcFtdZ #Abortion #SafeAbortion'"
"b""#Alabama Senate passes nation's most restrictive #abortion ban - May 14 @ 11:30 PM ET  https://t.co/fdjxh9EwpH"""
"b""#Alabama, I'm ashamed of you. How can you possibly let #men only decide when a woman is allowed to get an #abortion\xe2\x80\xa6 https://t.co/2tqwKkuS3x"""
"b""#Alabama's got the right idea! The #babykillers should defend their #Bloodlust in court. Millions of new citizens a\xe2\x80\xa6 https://t.co/sFtp4bIiMX"""
"b""#Judge rescinds ruling against 'physicians-only' #abortion #law - May 14 @ 5:15 PM ET  https://t.co/Tna9CnDudP"""
"b""25 men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in Alabama. Men should not be voting on women's health issue\xe2\x80\xa6 https://t.co/zvi5ZnvkX6"""
"b""Alabama has passed the most restrictive #abortion ban in the country. I grew up in Alabama, so this doesn't shock m\xe2\x80\xa6 https://t.co/yiWeFC13eI"""
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VABVOX: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'RT @VirdeeGurpreet: These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama and we know it\xe2\x80\x99s going to black women th\xe2\x80\xa6'
"b'RT @wanderinghome: Alabama passed the strictest anti-abortion law in the country tonight. I was there with @ByChipBrownlee and @emily_wax,\xe2\x80\xa6'"
b'RT @womenslink: #Abortion is a medical service that any woman may need during the course of her reproductive life.  The #AlabamaAbortionBan\xe2\x80\xa6'
b'RT @womenslink: #Abortion is a medical service that any woman may need during the course of her reproductive life.  The #AlabamaAbortionBan\xe2\x80\xa6'
b'RT @womenslink: #Abortion is a medical service that any woman may need during the course of her reproductive life.  The #AlabamaAbortionBan\xe2\x80\xa6'
b'RT @womenslink: #Abortion is a medical service that any woman may need during the course of her reproductive life.  The #AlabamaAbortionBan\xe2\x80\xa6'
b'RT @womenslink: #Abortion is a medical service that any woman may need during the course of her reproductive life.  The #AlabamaAbortionBan\xe2\x80\xa6'
b'RT @womenslink: #Abortion is a medical service that any woman may need during the course of her reproductive life.  The #AlabamaAbortionBan\xe2\x80\xa6'
b'RT @womenslink: #Abortion is a medical service that any woman may need during the course of her reproductive life.  The #AlabamaAbortionBan\xe2\x80\xa6'
b'RT @womenslink: #Abortion is a medical service that any woman may need during the course of her reproductive life.  The #AlabamaAbortionBan\xe2\x80\xa6'
b'RT @womenslink: #Abortion is a medical service that any woman may need during the course of her reproductive life.  The #AlabamaAbortionBan\xe2\x80\xa6'
b'RT @womenslink: #Abortion is a medical service that any woman may need during the course of her reproductive life.  The #AlabamaAbortionBan\xe2\x80\xa6'
"b'RT @yomicalloway: RT so we can FIGHT BACK! @GovernorKayIvey number for her executive office is 334.242.7100, legislative affairs is 334.242\xe2\x80\xa6'"
"b'RT so we can FIGHT BACK! @GovernorKayIvey number for her executive office is 334.242.7100, legislative affairs is 3\xe2\x80\xa6 https://t.co/yiMfvLwEGR'"
b'Sad news from #Alabama #USA #abortion #abortionrights https://t.co/4AmGguEiP4'
b'Same old hack reporting: credentialed expert in right-wing extremism discerns that bitter clingers are being puppet\xe2\x80\xa6 https://t.co/fHTRs8enVy'
b'Seriously in the #DarkAges #Alabama Senate passes near-total ban on #abortion: https://t.co/w5ntgdaWnM via @AOL  Ho\xe2\x80\xa6 https://t.co/WKc4gIwnjY'
"b'Since the nomination of Brett Kavanaugh, pro-life lawmakers have thought they have a chance at challenging Roe v. W\xe2\x80\xa6 https://t.co/Aw61DMK0X1'"
"b'Talibama in full effect, ya\xe2\x80\x99ll. Say hello to the \xe2\x80\x98men\xe2\x80\x99 behind this southern sharia sham charade... \xf0\x9f\x98\x90\xf0\x9f\x98\xa1\n \xe2\x81\xa6@PPact\xe2\x81\xa9\xe2\x80\xa6 https://t.co/S6CVMvg9ZB'"
b'Talibans Take Over Alabama: 25 Republicans\xe2\x80\x93all white men\xe2\x80\x93voted to ban abortion in Alabama https://t.co/eSSp28FyVB \xe2\x80\xa6\xe2\x80\xa6 https://t.co/YvaFn3GlNG'
"b'Tennessee Pastor Who Repeatedly Raped Daughter,14,Gets Light Sentence Because Jesus https://t.co/PtA1vuv2XQ via\xe2\x80\xa6 https://t.co/AYpergKqJG'"
"b'Thanks Alabama! At this rate leftist bitches will never have sex again, thank God.\n\n#Abortion\n#women\n#Alabama\xe2\x80\xa6 https://t.co/RZ4mr4wrID'"
"b'The deep South strikes again. Possible set-up to go all the way to #SCOTUS, with the aim of overturning Roe v Wade.\xe2\x80\xa6 https://t.co/SCn742AUl8'"
"b'The Democratic minority leader, Bobby Singleton, took note of the imbalance while objecting to the #abortion bill.\xe2\x80\xa6 https://t.co/5TErc1iN6d'"
b'The frustrating irony is that these fundamentalist pricks won\xe2\x80\x99t go to hell because it doesn\xe2\x80\x99t exist. They will die\xe2\x80\xa6 https://t.co/IsVysQ0hUT'
b'The Latest: Senators reject #rape exemption in #abortion ban - May 14 @ 8:40 PM ET  https://t.co/FxmUiCd31X'
"b'The speed &amp; ease in which #WomensRights are being eroded is truly terrifying\n\nWe know from \xe2\x81\xa6@WHO\xe2\x81\xa9 data, when\xe2\x80\xa6 https://t.co/wsbQlDfYZ8'"
"b'The US, well, Republicans, want to go back to the Middle Ages as Alabama Senate passes near-total #abortion ban. Un\xe2\x80\xa6 https://t.co/zkuRKLakIK'"
b'Then I guess child support starts at conception...\n\n#Alabama: Republican senate passes near-total #abortion ban.\n\nL\xe2\x80\xa6 https://t.co/ha4B9na9TV'
b'There are 2 Americas: one ready to face the challenges of 2019+ &amp; one creating a dystopian future. #Alabama w/ its\xe2\x80\xa6 https://t.co/TjPL0IGIdF'
"b'These 25 #Republicans , all white men \xe2\x80\x93 just voted to ban #abortion in #Alabama\n#Shame\n#MyBodyMyChoice\ncc @guardian\xe2\x80\xa6 https://t.co/Gsv6P8Lyea'"
b'These 25 #Republicans \xe2\x80\x93 all white #men \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/sKXsSm9zko'
b'These 25 #Republicans \xe2\x80\x93 all white men \xe2\x80\x93 just voted to ban &amp; #abortion in #Alabama https://t.co/rOWn73Tn1m | via\xe2\x80\xa6 https://t.co/NUTN0z5gYp'
"b'These 25 #white #men, all #Republican, just banned #abortion in #Alabama\n\nWe need more #women, &amp; decent compassiona\xe2\x80\xa6 https://t.co/JRKukrFkA2'"
b'These 25 Republicans (all white men) just voted to ban #abortion in #Alabama https://t.co/UMRwc1Haob'
b'These 25 Republicans \xe2\x80\x93 all white men \xe2\x80\x93 just voted to ban #abortion in Alabama https://t.co/umJEmgWOrk'
b'These 25 Republicans just voted to ban #abortion in #Alabama\nBack to the past - White men know best what #women nee\xe2\x80\xa6 https://t.co/w9G32ldCXB'
b'These 25 white Klansmen \xe2\x80\x93 all #Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/rQZBAXFfiL'
b'These 25 white men \xe2\x80\x93 all #Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/MVz6PZOYAA'
b'These 25 white men \xe2\x80\x93 all #Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/URPOpGGZGG'
b'These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama #TheGuardian  https://t.co/roX2ArI5aE'
b'These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama :: https://t.co/XQxhXsoBNx'
b'These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama and we know it\xe2\x80\x99s going to black wome\xe2\x80\xa6 https://t.co/Lk9KDGHr1A'
b'These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama https://t.co/dukS0EP6bI'
b'These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama.\n\nLegislation makes abortion a crime\xe2\x80\xa6 https://t.co/3irnVxzzQk'
b'These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in Alabama https://t.co/DbtuS3OcWj'
b'These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in Alabama https://t.co/vhzPXd2SxJ\n\nStop doing b\xe2\x80\xa6 https://t.co/Xlt7XTS8fO'
b'These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in Alabama the USA has a #diversity problem and\xe2\x80\xa6 https://t.co/fqvu6cw8X8'
b'These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban abortion in Alabama #abortion  https://t.co/rW8l3fUaYH'
b'These are the disgraceful ignorant heads of the white republican men who want to dominate women\xe2\x80\x99s choice. #abortion\xe2\x80\xa6 https://t.co/SXTzLOtyKu'
"b'These are the twenty-five old, white, bitter, clueless, misogynistic pricks who hate women. https://t.co/P9QHTBFH8d\xe2\x80\xa6 https://t.co/sKDNFV6JX2'"
b'These men all have the means to get their daughters (and mistresses \xf0\x9f\x99\x84 obviously) to another state for the care they\xe2\x80\xa6 https://t.co/IpsHJFCfS5'
b'this @AlabamaPolitics anti #abortion law is thoroughly abhorrent &amp; reeks of another male power grab over women. the\xe2\x80\xa6 https://t.co/GGJ6CcCdtR'
b'This @guardian image of the 25 senators who decided to make #abortion a crime in #Alabama really says it all.\xe2\x80\xa6 https://t.co/RU2q4Q8yyJ'
b'This cartoon might push a few buttons. https://t.co/QYFzTyaCia #georgiaabortionban #abortion #abortionban\xe2\x80\xa6 https://t.co/dqTZyBa4CW'
"b'This idiot from the other side of my state shows where the dems are headed, rather than being what he promised vote\xe2\x80\xa6 https://t.co/OYKdwcZjRm'"
"b'This is disgusting archaic law. Abortion is not a crime. It should be legal, free, accessible, and safe for all wom\xe2\x80\xa6 https://t.co/hhYTy8jej6'"
b'This is not pro-life this is pro-control. Abortion bans don\xe2\x80\x99t stop abortions they stop safe abortions. Women\xe2\x80\x99s bodi\xe2\x80\xa6 https://t.co/9qM3UNVjsS'
b'This is truly appalling &gt;&gt; #Alabama Senate passes near-total abortion ban\nhttps://t.co/BgTkiPACA9 #AlabamaSenate #abortion #women'
"b'This is unacceptable. #WomensHealth should be central to any discussion about #abortion, #reprorights, and\xe2\x80\xa6 https://t.co/FQys8x75nE'"
"b'This makes #ChoiceWordsAnthology from @HaymarketBooks, 1st major literary anthology on #abortion even more timely.\xe2\x80\xa6 https://t.co/gtbIaL1Wv6'"
b'THIS SAYS IT ALL IN THE #ABORTION DEBATE  where the shell of the once great #RepParty pushes women to the margins -\xe2\x80\xa6 https://t.co/NzqVGzcpcz'
b'This should not be happening. Anywhere. There is no debate. There is no justification. There is no explanation. If\xe2\x80\xa6 https://t.co/hpP3GHmAQx'
"b'This was an emboldened, out-of-touch, arrogant elected #DemocraticParty official who woke up one day last week &amp; ma\xe2\x80\xa6 https://t.co/Mb8lmlEscx'"
b'To be honest the real problem with Gen X is that it\xe2\x80\x99s the generation that ushered in the #abortion holocaust. As a\xe2\x80\xa6 https://t.co/kajUXUF8Zx'
b'Totally depressing... These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in #Alabama...\xe2\x80\xa6 https://t.co/PRMC0nyvhx'
b'Two articles you should read about the disgusting #abortion law passed in #Alabama :\n\n1. News update\xe2\x80\xa6 https://t.co/qlIRMgAi2u'
"b'U.S. #women, take notes: you are merely incubators. Not human beings. https://t.co/YRqVeOtcmd\n#abortion\xe2\x80\xa6 https://t.co/RkyJA3njpS'"
"b'US Republican court-stacking could see Roe vs Wade overturned. If it is, this would be punishment US liberal femini\xe2\x80\xa6 https://t.co/TVChhpH1R0'"
b'via @ppnorcalaction: #Alabama just passed a heinous #abortion ban - the most restrictive anti-abortion measure pass\xe2\x80\xa6 https://t.co/kBTlGAlexT'
"b'Way to go #Alabama, You just set your Sate back 50 years.\n#Abortion #HerBodyHerDecision #ProtectRoeVsWade\xe2\x80\xa6 https://t.co/Y6Pd712jYC'"
b'We are entering a neo-ultraconservative era... \xf0\x9f\x99\x81 #Abortion #AlabamaAbortionBan\n\nhttps://t.co/nZ7hrYzCa5'
"b'Welcome to the Dark Ages in #Alabama, where a new law would ban #abortion even for rape and incest victims https://t.co/2q3E1Ua9GI'"
b'What I see in that room is white privileged men yet again making decisions for women. No clue that no matter what w\xe2\x80\xa6 https://t.co/uOE4LBe4XY'
b'Whelp... Here we go #abortion\nhttps://t.co/Zb3ZKYVHrJ'
b'When fearful men with tiny penises are given power / #alabama #abortion / These 25 white men \xe2\x80\x93 all Republicans \xe2\x80\x93 ju\xe2\x80\xa6 https://t.co/lv9pSYwn27'
"b'While #sanfrancisco takes a step forward in protecting privacy of individuals, #alabama takes away the hard fought\xe2\x80\xa6 https://t.co/DtFr6OeX4W'"
b'Wish we could retro-abort these psycho fascist dicks: These 25 white men \xe2\x80\x93 all #Republicans \xe2\x80\x93 just voted to ban\xe2\x80\xa6 https://t.co/ZoxAx7unK1'
b'Wow #Alabama bans #abortion because life is precious but can\xe2\x80\x99t ban #guns \nLet\xe2\x80\x99s punish women while (mostly) men tak\xe2\x80\xa6 https://t.co/cijbSGSFce'
"b'Wrong, wrong, wrong... Alabama Senate passes near-total abortion ban bill @CNNPolitics https://t.co/CAOK3ZxmPy\xe2\x80\xa6 https://t.co/p4aX5Nf8kz'"
"b'You stupid, deluded boys. So male, pale &amp; stale with your privilege &amp; your small brains \xf0\x9f\x98\xa1 Women are coming for your\xe2\x80\xa6 https://t.co/MdlDpNLia2'"
